method,seed,epochs,total_wallclock_s,per_epoch_s,best_test_acc_pct,backprop_saved_pct
baseline,0,200,929.2067620754242,4.646033810377121,94.96,0.031999999999998696
baseline,1,200,943.2721469402313,4.716360734701157,95.18,0.031999999999998696
baseline,2,200,946.4124252796173,4.732062126398087,94.95,0.031999999999998696
ies_shipped,0,200,800.6033699512482,4.003016849756241,94.61,45.355520000000006
ies_shipped,1,200,756.6602807044983,3.7833014035224917,94.74,46.08896
ies_shipped,2,200,756.7406115531921,3.7837030577659605,94.79,45.53471999999999
ies_alg1,0,200,734.2610597610474,3.671305298805237,94.92,48.591359999999995
ies_alg1,1,200,733.6280453205109,3.6681402266025542,94.66,49.00352
ies_alg1,2,200,738.8600475788116,3.6943002378940584,94.97,49.46623999999999
tgies,0,200,720.7047340869904,3.6035236704349516,94.61,53.48288
tgies,1,200,678.0570414066315,3.3902852070331573,95.16,53.4368
tgies,2,200,700.2146351337433,3.5010731756687163,94.77,53.97632
